                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5206,                0.39279,                0.95957,                  0.987,                0.98039,                0.99369,                0.89767,                0.53869,                 0.3661,                0.93039,              0.0013268,              0.0013268,              0.0013268
                     37,                0.55037,                0.39089,                0.95941,                0.96197,                0.99204,                 0.9933,                0.86674,                0.56763,                0.44061,                 1.0084,               0.001307,               0.001307,               0.001307
                     38,                 0.5682,                0.40281,                0.98075,                0.98688,                0.98321,                0.99448,                0.90256,                0.49712,                0.34228,                0.90505,              0.0012872,              0.0012872,              0.0012872
                     39,                0.53233,                0.39381,                0.95746,                0.99964,                0.98039,                0.99462,                0.89598,                0.52211,                0.35578,                0.92612,              0.0012674,              0.0012674,              0.0012674
                     40,                0.52332,                0.38614,                0.95004,                0.98699,                 0.9914,                0.99434,                0.90538,                0.49504,                0.32798,                0.91737,              0.0012476,              0.0012476,              0.0012476
                     41,                0.52311,                0.37024,                0.94423,                 0.9935,                0.99848,                  0.995,                0.89249,                0.51401,                 0.3299,                0.91971,              0.0012278,              0.0012278,              0.0012278
                     42,                0.50109,                0.36893,                0.94421,                0.98578,                0.97386,                0.99326,                0.88694,                0.51113,                0.33969,                0.93515,               0.001208,               0.001208,               0.001208
                     43,                0.54945,                0.39638,                0.97293,                      1,                0.99154,                  0.995,                0.90789,                0.50818,                0.34806,                0.91642,              0.0011882,              0.0011882,              0.0011882
                     44,                0.53368,                0.39295,                0.95832,                0.98919,                0.98693,                0.99467,                0.90907,                0.48531,                0.33208,                0.92739,              0.0011684,              0.0011684,              0.0011684
                     45,                0.48657,                0.35102,                0.92437,                0.99956,                0.99346,                  0.995,                0.90248,                 0.5006,                0.32855,                0.91897,              0.0011486,              0.0011486,              0.0011486
